id,priority,domain,title,action
"GAP-01","P0","auth/db","실시간 인증·세션·DB가 연결되지 않음","Google origin 승인, session secret, PostgreSQL endpoint 실측 필요"
"GAP-02","P0","billing","PG 실거래·환불·영수증 미검증","웹 billing key와 테스트 거래 증거 필요"
"GAP-03","P0","playback","실기기와 live audio 미검증","Android 연결, RMS/재시작/캐시 시나리오 필요"
"GAP-04","P0","locality","동네 5곳·14일 데이터 미확보","첫 집중 상권과 참여 매장 모집 필요"
"GAP-05","P0","compliance","법률 검토·개인정보 동의 이력 미완료","한국 법률 검토 및 증적 필요"
"GAP-06","P1","operations","관측 대시보드·온콜·상태페이지 미검증","알림 임계치와 사고 런북 실환경 리허설 필요"
"GAP-07","P1","ux","WCAG/한국형 접근성 외부 점검 미실시","키보드·스크린리더·색 대비 점검 필요"
"GAP-08","P1","growth","가격/단위경제가 문서 가정 단계","유료 매장 관찰로 LTV/CAC 실측 필요"
"GAP-09","P1","content","콘텐츠 품질은 설계·시드 CSV 단계","사용 가능한 외부 후보/라이선스·메타데이터 확인 필요"
"GAP-10","P2","recommendation","자동 추천은 엔진 코드와 UI 계약 중심","실사용 로그로 완주율·이탈 측정 필요"
